,standard_drug_name,cellosaurus_id,dataset,info,n_dosage,min_dosage,max_dosage,IC50,IC90,EC50,Einf,AUC,fitted_mae
22,3-Cl-AHPC,ACC-MESO-1,All,CTRP2,16,0.002,66.0,5.80506,9.44374,4.14137,0.536067,8.47185,0.0914972
23,3-Cl-AHPC,B-CPAP,All,CTRP2,16,0.002,66.0,2.62476,4.97752,2.54031,0.960591,23.0688,0.083546
24,3-Cl-AHPC,CGTH-W-1,All,CTRP2,16,0.002,66.0,1.37611,3.95495,1.33294,0.981612,31.2447,0.123078
25,3-Cl-AHPC,COLO680N,All,CTRP2,16,0.002,66.0,3.70349,8.98493,2.35118,0.725892,20.6434,0.121946
26,3-Cl-AHPC,ECC12,All,CTRP2,16,0.002,66.0,1.50617,2.70853,1.5059,0.99975,30.2352,0.113722
27,3-Cl-AHPC,HCC95,All,CTRP2,16,0.002,66.0,3.00851,7.08163,2.39959,0.837221,22.4003,0.106621
28,3-Cl-AHPC,JMSU-1,All,CTRP2,16,0.002,66.0,-0.2718,0.916712,-0.271809,0.999992,42.0794,0.112292
29,3-Cl-AHPC,RH41,All,CTRP2,16,0.002,66.0,1.70415,3.59131,1.69325,0.993653,28.9517,0.113356
30,3-Cl-AHPC,WSU-DLCL2,All,CTRP2,16,0.002,66.0,0.551324,2.09718,0.550752,0.999594,36.5975,0.0953351
31,3-Cl-AHPC,23132/87,All,CTRP2,15,0.002,66.0,-0.224358,3.28667,-0.286357,0.980603,41.9272,0.165187
32,3-Cl-AHPC,8305C,All,CTRP2,15,0.002,66.0,1.76255,6.38849,1.27318,0.884299,30.1653,0.107095
33,3-Cl-AHPC,BHY,All,CTRP2,16,0.002,66.0,1.08583,5.70451,0.721854,0.91364,34.1827,0.112624
34,3-Cl-AHPC,GSU,All,CTRP2,16,0.002,66.0,3.71777,5.14665,3.68241,0.97282,15.6197,0.127236
35,3-Cl-AHPC,JIMT-1,All,CTRP2,16,0.002,66.0,3.57627,7.51063,2.8455,0.79873,19.1131,0.0879802
36,3-Cl-AHPC,KMRC-20,All,CTRP2,16,0.002,66.0,3.43149,7.35529,2.75201,0.812015,19.8735,0.0976186
37,3-Cl-AHPC,OUMS-23,All,CTRP2,16,0.002,66.0,3.94704,6.38073,3.65553,0.869161,15.0076,0.0877822
38,3-Cl-AHPC,SNU-1076,All,CTRP2,16,0.002,66.0,1.24789,5.59187,0.926103,0.918797,32.9955,0.128909
39,3-Cl-AHPC,SNU-1196,All,CTRP2,16,0.002,66.0,1.52103,5.99639,1.12094,0.902101,31.4548,0.109747
40,3-Cl-AHPC,SNU-8,All,CTRP2,16,0.002,66.0,4.16398,9.25816,2.68961,0.692335,18.1533,0.0633452
41,3-Cl-AHPC,A-375,All,CTRP2,16,0.002,66.0,1.55258,4.50018,1.46146,0.96605,30.2303,0.16333
42,3-Cl-AHPC,A-549,All,CTRP2,16,0.002,66.0,2.56824,9.9979,0.743436,0.736533,29.316,0.124437
43,3-Cl-AHPC,NCI-H2009,All,CTRP2,15,0.002,66.0,0.765958,2.85837,0.75853,0.9961,35.1903,0.190176
44,3-Cl-AHPC,SNU-201,All,CTRP2,15,0.002,66.0,8.07643,9.36915,5.62736,0.0306546,0.122034,0.0605416
45,3-Cl-AHPC,SUIT-2,All,CTRP2,16,0.002,66.0,8.08449,16.6652,2.32326,0.372292,11.7874,0.0715646
